"","Transiation_ID","1st","1st_dist","2nd","2nd_dist","3rd","3rd_dist","4th","4th_dist","5th","5th_dist"
"1",1,18,0.0416666666666667,28,0.0447269303201508,38,0.0586158192090395,5,0.0694444444444444,29,0.0694444444444446
"2",2,26,0.0616760828625235,44,0.0694444444444446,13,0.0694444444444446,10,0.100282485875706,31,0.10334274952919
"3",3,46,0.0447269303201508,30,0.0508474576271186,41,0.0833333333333333,35,0.100282485875706,4,0.10334274952919
"4",4,46,0.0586158192090396,31,0.0725047080979285,30,0.0863935969868175,3,0.10334274952919,10,0.125
"5",5,1,0.0694444444444444,8,0.100282485875706,8,0.100282485875706,18,0.111111111111111,28,0.114171374764595
"6",6,17,0.0677966101694915,43,0.158898305084746,19,0.166666666666667,11,0.200564971751412,22,0.200564971751413
"7",7,46,0.125,12,0.131120527306968,3,0.169726930320151,3,0.169726930320151,8,0.169726930320151
"8",8,38,0.0277777777777777,48,0.0586158192090396,29,0.0725047080979285,12,0.0725047080979285,1,0.0863935969868172
"9",9,37,0.0586158192090396,41,0.141949152542373,4,0.155838041431262,14,0.16195856873823,46,0.180555555555555
"10",10,31,0.0863935969868175,13,0.0863935969868175,2,0.100282485875706,4,0.125,26,0.128060263653484
"11",11,47,0.0277777777777779,28,0.138888888888889,45,0.141949152542373,36,0.145009416195857,21,0.158898305084746
"12",12,25,0.0508474576271186,8,0.0725047080979285,38,0.100282485875706,30,0.111111111111111,31,0.125
"13",13,2,0.0694444444444446,44,0.0833333333333333,10,0.0863935969868175,31,0.117231638418079,26,0.131120527306968
"14",14,37,0.10334274952919,9,0.16195856873823,41,0.186676082862524,13,0.189736346516007,4,0.234463276836158
"15",15,34,0.200564971751412,19,0.237523540489642,17,0.253060263653484,11,0.28695856873823,33,0.300847457627118
"16",16,34,0.239171374764595,6,0.325564971751413,6,0.325564971751413,19,0.325564971751413,15,0.328625235404896
"17",17,6,0.0677966101694915,11,0.200564971751412,22,0.200564971751413,20,0.200564971751413,43,0.226694915254238
"18",18,1,0.0416666666666667,39,0.0447269303201505,28,0.0863935969868175,38,0.100282485875706,5,0.111111111111111
"19",19,6,0.166666666666667,11,0.200564971751412,20,0.200564971751413,45,0.225282485875706,47,0.22834274952919
"20",20,45,0.0586158192090395,22,0.0833333333333332,43,0.109463276836158,47,0.138888888888889,18,0.141949152542373
"21",21,29,0.106403013182674,32,0.117231638418079,38,0.117231638418079,28,0.131120527306968,36,0.137241054613936
"22",22,20,0.0833333333333332,43,0.109463276836158,47,0.138888888888889,45,0.141949152542373,18,0.141949152542373
"23",23,5,0.178907721280603,7,0.192796610169492,46,0.234463276836158,12,0.240583804143126,3,0.245291902071563
"24",24,27,0.128060263653484,42,0.169726930320151,38,0.200564971751412,32,0.200564971751413,48,0.203625235404896
